summary,new_registration_by_party,none,none_2,none_3,none_4,none_5,none_6,none_7,removals,none_8,none_9,none_10,none_11,none_12,none_13,none_14,source_page,county,changes,party_affiliation_from,total_active_registration,activity
,DEM,REP,NLM,LIB,UNAF,OTH,TOTAL,DUPS,,DEM,REP,NLM,LIB,UNAF,OTH,TOTAL,1,,,,,
ABSENTEE BALLOT (FPCA),55,15,0,0,20,1,91,39,BOARD ACTION,0,0,0,0,0,0,0,1,,,,,
BY MAIL,567,279,1,7,157,9,"1,020",647,CONFIRMATION MAIL,3,4,0,0,2,0,9,1,,,,,
DESIGNATED STATE AGENCIES,204,94,0,1,167,11,477,13,COUNTY TRANSFER - OUT,"7,498","2,819",1,101,"3,520",248,"14,187",1,,,,,
ELDERLY / DISABLED / SOC SEC,136,57,1,1,95,7,297,1,CRIMINAL CONVICTION,37,11,0,1,16,5,70,1,,,,,
ERIC REPORT,2168,674,0,26,1119,95,"4,082",13,DEATH NOTICE,"4,990","1,887",0,17,"1,015",103,"8,012",1,,,,,
FROM ANOTHER BOARD,0,0,0,0,0,0,0,0,DUPLICATE,439,131,0,2,118,23,713,1,,,,,
PROVISIONAL BALLOT,40,9,0,0,6,1,56,639,MAIL VERIFICATION (NVRA),"17,254","8,314",8,185,"10,130",377,"36,268",1,,,,,
IN PERSON,68,24,2,1,31,2,128,188,MENTAL INCOMPETENCY,0,0,0,0,0,0,0,1,,,,,
MOTOR VEHICLE ADMINISTRATION,10025,5282,529,227,9519,331,"25,913",669,MOVED OUT OF STATE,302,333,0,4,198,9,846,1,,,,,
NVRA BY MAIL,30,19,0,0,12,0,61,6,OTHER,25,5,0,0,9,1,40,1,,,,,
ONLINE REGISTRATION,502,326,17,10,337,13,"1,205",2,VOTER REQUEST,101,52,0,1,51,4,209,1,,,,,
OTHER MEANS,157,30,0,0,56,5,248,69,,,,,,,,,1,,,,,
RECRUITING,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,
SAME DAY REGISTRATION,1,3,0,0,0,0,4,3,,,,,,,,,1,,,,,
SOCIAL SERVICES,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,
VOLUNTEER,51,12,3,1,35,1,103,0,,,,,,,,,1,,,,,
TOTAL,"14,004","6,824",553,274,"11,554",476,"33,685","2,289",TOTAL,"30,649","13,556",9,311,"15,059",770,"60,354",1,,,,,
,,NAME,REP,NLM,LIB,UNAF,OTH,TOTAL,,REP,NLM,LIB,UNAF,OTH,TOTAL,INACTIVE,2,,ADDRESS,DEM,DEM,"CONF
MAILING"
,,237,30,0,3,84,20,233,,22824,34,266,8786,566,"43,303",3864,2,ALLEGANY,545,96,10827,191
,,3242,387,4,33,914,151,"2,179",,128052,342,2511,103138,4251,"408,951",41526,2,ANNE ARUNDEL,5490,690,170657,5653
,,843,83,7,21,"1,013",140,"1,471",,28293,209,1180,61098,5735,"391,457",27766,2,BALTIMORE CITY,3766,207,294942,5975
,,5838,449,7,42,762,185,"2,454",,138092,433,2694,117815,7801,"573,904",34270,2,BALTIMORE CO.,9398,"1,009",307069,274
,,499,75,3,10,81,25,290,,28005,53,454,16231,718,"68,697",6366,2,CALVERT,663,96,23236,1285
,,156,23,0,2,16,7,71,,10691,21,125,4861,259,"21,921",1641,2,CAROLINE,227,23,5964,72
,,834,135,1,14,125,44,454,,63510,79,834,29982,1323,"128,809",8153,2,CARROLL,1366,135,33081,537
,,664,126,0,23,444,37,834,,35071,79,477,17112,906,"72,707",6155,2,CECIL,779,204,19062,2091
,,1018,91,1,5,260,30,630,,23027,88,443,24453,1199,"124,031",10958,2,CHARLES,1647,243,74821,1050
,,182,16,0,2,33,5,103,,9341,17,110,4251,261,"23,478",1149,2,DORCHESTER,345,47,9498,615
,,1597,191,2,24,367,62,994,,68073,148,1260,53044,1710,"201,926",16412,2,FREDERICK,2782,348,77691,1597
,,114,19,0,0,29,6,71,,13716,14,110,3034,207,"20,546",1479,2,GARRETT,226,17,3465,839
,,1400,197,4,26,208,61,799,,80792,160,1285,44680,2233,"193,351",14114,2,HARFORD,2683,303,64201,1632
,,1762,183,1,16,270,63,928,,48237,182,967,61785,2472,"235,571",16149,2,HOWARD,3032,395,121928,1858
,,74,17,1,1,38,1,99,,5335,8,70,2788,144,"14,075",850,2,KENT,178,41,5730,66
,,4134,268,12,22,"1,251",131,"2,451",,98097,385,2416,170519,7139,"684,032",69014,2,MONTGOMERY,2940,767,405476,9383
,,2282,127,10,23,"1,479",194,"2,419",,38584,370,1536,96352,12291,"600,316",45832,2,PR. GEORGE'S,4840,586,451183,12758
,,286,47,1,6,161,15,294,,20206,30,235,8809,380,"40,770",2334,2,QUEEN ANNE'S,561,64,11110,394
,,407,60,2,6,115,16,300,,31960,48,495,17625,819,"75,480",8747,2,ST. MARY'S,840,101,24533,2524
,,78,13,1,2,29,1,70,,6185,12,71,2530,170,"14,350",589,2,SOMERSET,182,24,5382,271
,,232,33,1,2,59,14,158,,11704,18,169,6062,274,"28,826",1701,2,TALBOT,400,49,10599,427
,,816,114,3,11,119,27,444,,44115,54,658,23554,1173,"99,977",12422,2,WASHINGTON,1566,170,30423,3295
,,439,54,2,4,124,25,343,,24020,66,377,14929,888,"66,191",5247,2,WICOMICO,1034,134,25911,453
,,132,21,0,2,55,12,125,,19381,29,236,8969,552,"42,636",3362,2,WORCESTER,388,35,13469,341
,,"27,266","2,759",63,300,"8,036","1,272","18,214",,"997,311","2,879","18,979","902,407","53,471","4,175,305","340,100",2,TOTAL,"45,878","5,784","2,200,258","53,581"
