county,changes,none,party_affiliation_from,none_2,none_3,none_4,none_5,none_6,none_7,none_8,total_active_registration,none_9,none_10,none_11,none_12,none_13,none_14,none_15,activity,none_16,source_page,summary,new_registration_by_party,removals
,ADDRESS,NAME,DEM,REP,NLM,LIB,GRN,UNAF,OTH,TOTAL,DEM,REP,NLM,LIB,GRN,UNAF,OTH,TOTAL,"CONF
MAILING",INACTIVE,1,,,
ALLEGANY,316,90,25,18,0,0,2,29,6,80,10781,22917,50,271,55,8798,508,"43,380",7,3913,1,,,
ANNE ARUNDEL,3453,2286,317,249,7,27,14,437,53,"1,104",171916,128807,558,2519,452,104582,3797,"412,631",130,40624,1,,,
BALTIMORE CITY,7130,3968,638,176,12,19,21,427,90,"1,383",297712,28872,500,1243,676,63311,5103,"397,417",2,27552,1,,,
BALTIMORE CO.,5086,3218,607,257,9,30,15,469,116,"1,503",306442,138412,670,2701,656,118819,7072,"574,772",118,35762,1,,,
CALVERT,410,376,43,36,1,2,4,70,15,171,23385,28247,73,456,67,16490,650,"69,368",23,6205,1,,,
CAROLINE,135,91,19,7,0,2,0,16,5,49,5967,10798,30,126,25,4912,230,"22,088",91,1620,1,,,
CARROLL,786,548,97,82,0,14,6,122,16,337,33196,63956,120,838,134,30320,1202,"129,766",73,8037,1,,,
CECIL,408,387,65,76,2,1,2,77,12,235,18950,35048,111,482,72,17202,828,"72,693",34,6274,1,,,
CHARLES,866,710,135,35,1,4,1,124,13,313,75275,23159,130,447,103,24774,1101,"124,989",9,10971,1,,,
DORCHESTER,204,110,21,8,1,0,1,21,0,52,9522,9429,25,109,15,4301,251,"23,652",56,1125,1,,,
FREDERICK,1658,1001,187,106,5,19,7,226,17,567,78258,68595,226,1261,222,53912,1508,"203,982",139,16235,1,,,
GARRETT,106,75,10,11,0,1,1,18,4,45,3465,13764,17,109,19,3045,183,"20,602",6,1511,1,,,
HARFORD,1353,934,169,116,3,6,8,198,34,534,64238,81051,234,1294,158,44987,2046,"194,008",22,14507,1,,,
HOWARD,1787,1290,216,120,4,12,3,268,38,661,122722,48448,279,977,236,62788,2232,"237,682",10,15852,1,,,
KENT,66,52,8,8,0,0,0,7,0,23,5709,5361,14,73,16,2808,128,"14,109",0,886,1,,,
MONTGOMERY,5929,6884,"1,188",429,17,48,26,"1,237",154,"3,099",403515,98129,811,2459,765,172033,6251,"683,963",503,76827,1,,,
PR. GEORGE'S,4482,3965,682,147,10,21,17,629,127,"1,633",454819,39452,775,1594,599,99972,11738,"608,949",12842,44416,1,,,
QUEEN ANNE'S,313,158,29,25,0,2,1,26,9,92,11170,20328,44,238,36,8948,331,"41,095",0,2054,1,,,
ST. MARY'S,523,358,62,51,2,8,3,80,9,215,24632,32343,70,502,63,17997,753,"76,360",15,8789,1,,,
SOMERSET,104,64,13,5,0,0,4,9,0,31,5365,6218,15,73,15,2549,152,"14,387",3,628,1,,,
TALBOT,209,131,15,9,0,0,2,30,8,64,10488,11602,30,168,22,5974,248,"28,532",5,2130,1,,,
WASHINGTON,725,512,91,50,3,6,2,86,27,265,30430,44300,100,655,123,23880,1010,"100,498",41,12794,1,,,
WICOMICO,509,290,60,23,0,4,1,62,10,160,25825,24078,101,383,59,15001,826,"66,273",11,5510,1,,,
WORCESTER,458,281,50,49,2,4,2,47,17,171,13558,19642,49,247,42,9185,521,"43,244",7,3355,1,,,
TOTAL,"37,016","27,779","4,747","2,093",79,230,143,"4,715",780,"12,787","2,207,340","1,002,956","5,032","19,225","4,630","916,588","48,669","4,204,440","14,147","347,577",1,,,
,,REP,,NLM,LIB,GRN,UNAF,OTH,TOTAL,DUPS,,DEM,REP,NLM,LIB,GRN,UNAF,OTH,,TOTAL,2,,DEM,
,,44,,1,3,1,41,2,247,40,,0,0,0,0,0,0,0,,0,2,ABSENTEE BALLOT (FPCA),155,BOARD ACTION
,,198,,5,4,1,210,9,988,290,,8,5,0,0,1,3,0,,17,2,BY MAIL,561,CONFIRMATION MAIL
,,76,,0,1,0,230,11,630,72,,"6,261","1,850",8,74,25,"2,523",153,,"10,894",2,DESIGNATED STATE AGENCIES,312,COUNTY TRANSFER - OUT
,,129,,11,5,0,241,16,891,0,,38,2,0,0,0,12,3,,55,2,ELDERLY / DISABLED / SOC SEC,489,CRIMINAL CONVICTION
,,230,,0,6,3,239,16,"1,060",3,,"2,475","1,335",1,8,1,543,45,,"4,408",2,ERIC REPORT,566,DEATH NOTICE
,,0,,0,0,0,0,0,0,0,,111,61,0,2,1,54,5,,234,2,FROM ANOTHER BOARD,0,DUPLICATE
,,0,,0,0,0,0,0,12,10,,"2,276",665,4,28,15,"1,699",101,,"4,788",2,PROVISIONAL BALLOT,12,MAIL VERIFICATION (NVRA)
,,54,,2,0,0,56,0,245,12,,0,0,0,0,0,0,0,,0,2,IN PERSON,133,MENTAL INCOMPETENCY
,,4135,,452,152,4,8048,305,"24,587",813,,455,181,0,4,0,165,11,,816,2,MOTOR VEHICLE ADMINISTRATION,11491,MOVED OUT OF STATE
,,40,,0,0,0,33,1,129,10,,62,19,2,3,0,41,7,,134,2,NVRA BY MAIL,55,OTHER
,,968,,90,32,2,1615,43,"5,747",5,,257,78,1,2,0,90,3,,431,2,ONLINE REGISTRATION,2997,VOTER REQUEST
,,101,,2,5,5,196,17,819,49,,,,,,,,,,,2,OTHER MEANS,493,
,,0,,0,0,0,0,0,0,0,,,,,,,,,,,2,RECRUITING,0,
,,0,,0,0,0,1,0,6,0,,,,,,,,,,,2,SAME DAY REGISTRATION,5,
