summary,new_registration_by_party,none,none_2,none_3,none_4,none_5,none_6,none_7,none_8,removals,none_9,none_10,none_11,none_12,none_13,none_14,none_15,none_16,source_page,county,changes,party_affiliation_from,total_active_registration,activity
,DEM,REP,NLM,LIB,GRN,UNAF,OTH,TOTAL,DUPS,,DEM,REP,NLM,LIB,GRN,UNAF,OTH,TOTAL,1,,,,,
ABSENTEE BALLOT (FPCA),122,37,0,1,1,43,0,204,2,BOARD ACTION,0,0,0,0,0,0,0,0,1,,,,,
BY MAIL,55,19,1,1,0,22,2,100,10,CONFIRMATION MAIL,3,0,0,0,0,0,0,3,1,,,,,
DESIGNATED STATE AGENCIES,25,10,0,0,0,8,0,43,1,COUNTY TRANSFER - OUT,"6,141","1,719",12,59,19,"2,537",180,"10,667",1,,,,,
ELDERLY / DISABLED / SOC SEC,740,285,11,7,5,392,4,"1,444",0,CRIMINAL CONVICTION,39,11,0,0,0,16,1,67,1,,,,,
ERIC REPORT,8,2,0,0,0,2,0,12,0,DEATH NOTICE,45,47,0,0,0,12,2,106,1,,,,,
FROM ANOTHER BOARD,0,0,0,0,0,0,0,0,0,DUPLICATE,38,10,2,2,0,7,2,61,1,,,,,
PROVISIONAL BALLOT,12968,4371,85,121,73,5762,238,"23,618","2,035",MAIL VERIFICATION (NVRA),0,0,0,0,0,0,0,0,1,,,,,
IN PERSON,22,11,0,0,0,5,0,38,81,MENTAL INCOMPETENCY,0,0,0,0,0,0,0,0,1,,,,,
MOTOR VEHICLE ADMINISTRATION,634,428,15,11,2,436,21,"1,547",33,MOVED OUT OF STATE,350,146,0,6,2,143,5,652,1,,,,,
NVRA BY MAIL,0,0,0,0,0,0,0,0,0,OTHER,143,60,1,2,2,58,1,267,1,,,,,
ONLINE REGISTRATION,112,33,1,0,1,71,3,221,0,VOTER REQUEST,68,24,0,1,0,27,1,121,1,,,,,
OTHER MEANS,238,103,4,5,3,101,3,457,34,,,,,,,,,,1,,,,,
RECRUITING,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,,,,,
SAME DAY REGISTRATION,9853,6551,120,94,83,6002,168,"22,871","1,481",,,,,,,,,,1,,,,,
SOCIAL SERVICES,1,0,0,0,0,0,0,1,0,,,,,,,,,,1,,,,,
VOLUNTEER,3,0,0,0,0,1,0,4,0,,,,,,,,,,1,,,,,
TOTAL,"24,781","11,850",237,240,168,"12,845",439,"50,560","3,677",TOTAL,"6,827","2,017",15,70,23,"2,800",192,"11,944",1,,,,,
,,NAME,REP,NLM,LIB,GRN,UNAF,OTH,TOTAL,,REP,NLM,LIB,GRN,UNAF,OTH,TOTAL,INACTIVE,2,,ADDRESS,DEM,DEM,"CONF
MAILING"
,,108,26,5,2,1,102,20,206,,23681,71,284,57,8952,496,"44,565",3551,2,ALLEGANY,322,50,11024,618
,,1720,20,1,1,0,60,16,144,,132033,824,2570,487,107477,3779,"423,459",38107,2,ANNE ARUNDEL,3021,46,176289,16366
,,2098,40,7,5,2,172,32,369,,30052,809,1285,762,65745,5116,"408,809",26332,2,BALTIMORE CITY,6107,111,305040,0
,,2452,36,1,1,1,89,18,243,,142246,1015,2761,735,121947,7003,"587,850",34401,2,BALTIMORE CO.,4365,97,312143,0
,,375,14,4,5,1,48,13,129,,29183,112,463,64,16860,634,"71,273",5724,2,CALVERT,320,44,23957,0
,,76,12,1,4,0,39,6,92,,11194,45,129,26,4956,223,"22,623",1510,2,CAROLINE,184,30,6050,349
,,558,54,1,6,0,73,11,230,,65407,153,870,140,31099,1209,"132,549",7576,2,CARROLL,974,85,33671,1005
,,289,5,0,0,0,12,0,31,,35977,147,493,72,17571,822,"74,469",5401,2,CECIL,402,14,19387,817
,,564,15,0,1,1,27,3,94,,24019,208,471,120,25626,1116,"128,793",10039,2,CHARLES,931,47,77233,953
,,257,11,1,1,0,34,6,85,,9706,34,119,16,4402,251,"24,206",1033,2,DORCHESTER,164,32,9678,837
,,559,5,0,0,1,18,3,33,,70073,319,1286,237,55078,1502,"208,521",15689,2,FREDERICK,1143,6,80026,1832
,,34,1,0,0,0,2,0,5,,14134,25,109,18,3117,183,"21,086",1401,2,GARRETT,116,2,3500,645
,,2266,133,9,16,4,348,67,790,,82838,338,1310,168,45869,2007,"197,892",13494,2,HARFORD,1176,213,65362,2340
,,1001,6,1,1,0,29,3,66,,49406,401,983,279,64322,2191,"242,758",15295,2,HOWARD,1527,26,125176,0
,,22,0,0,0,0,2,0,2,,5527,23,71,14,2842,125,"14,381",846,2,KENT,79,0,5779,343
,,13014,14,0,1,2,51,11,151,,101708,1272,2559,907,178788,6178,"705,533",71341,2,MONTGOMERY,4985,72,414121,0
,,2687,26,5,4,0,135,27,301,,41595,1217,1692,680,103269,11642,"624,090",42391,2,PR. GEORGE'S,5106,104,463995,9633
,,122,18,1,2,2,71,12,141,,20823,59,241,46,9046,331,"41,860",949,2,QUEEN ANNE'S,220,35,11314,638
,,189,14,2,3,0,22,2,76,,33746,121,534,72,18609,740,"79,312",7758,2,ST. MARY'S,527,33,25490,1574
,,24,2,0,0,0,3,0,6,,6335,22,77,17,2586,154,"14,601",578,2,SOMERSET,65,1,5410,147
,,135,4,1,0,0,9,2,22,,11876,41,180,24,6152,243,"29,273",1875,2,TALBOT,173,6,10757,277
,,1387,62,5,9,4,241,37,477,,45906,177,682,130,24583,984,"103,758",11771,2,WASHINGTON,703,119,31296,1075
,,170,3,0,0,0,3,0,9,,24772,137,393,71,15396,816,"67,974",5208,2,WICOMICO,390,3,26389,1462
,,123,18,5,5,1,56,13,135,,20203,61,245,42,9332,515,"44,200",3148,2,WORCESTER,294,37,13802,731
,,"30,230",539,50,67,20,"1,646",302,"3,837",,"1,032,440","7,631","19,807","5,184","943,624","48,260","4,313,835","325,418",2,TOTAL,"33,294","1,213","2,256,889","41,642"
