county,changes,none,party_affiliation_from,none_2,none_3,none_4,none_5,none_6,total_active_registration,none_7,none_8,none_9,none_10,none_11,activity,none_12,source_page,summary,new_registration_by_party,removals
,ADDRESS,NAME,DEM,REP,GRN,UNA,OTH,TOTAL,DEM,REP,GRN,UNA,OTH,TOTAL,"CONF
MAILING",INACTIVE,1,,,
ALLEGANY,569,185,58,19,0,38,22,137,10884,23706,56,9030,850,"44,526",346,2715,1,,,
ANNE ARUNDEL,4559,3486,959,444,21,818,226,"2,468",173357,131007,450,105835,7004,"417,653",4408,23895,1,,,
BALTIMORE CITY,2572,1929,475,121,10,448,139,"1,193",301533,29822,751,65032,7103,"404,241",15,13028,1,,,
BALTIMORE CO.,8272,5843,"1,757",580,17,"1,304",386,"4,044",310930,142734,739,122496,10768,"587,667",1896,15533,1,,,
CALVERT,374,220,63,18,0,31,19,131,23670,29140,61,16792,1210,"70,873",503,2876,1,,,
CAROLINE,138,55,13,8,0,11,11,43,5999,11217,25,4968,399,"22,608",56,899,1,,,
CARROLL,615,315,78,56,3,80,40,257,33400,65113,138,31032,2211,"131,894",2330,4468,1,,,
CECIL,590,482,84,65,0,98,42,289,19225,36070,72,17507,1451,"74,325",1162,3215,1,,,
CHARLES,825,571,144,22,1,48,31,246,77008,24091,118,25780,1806,"128,803",697,5296,1,,,
DORCHESTER,154,76,13,3,0,5,7,28,9636,9706,18,4401,416,"24,177",99,578,1,,,
FREDERICK,2597,1836,601,263,3,453,112,"1,432",79641,70224,233,55469,3114,"208,681",301,9053,1,,,
GARRETT,102,46,14,4,0,7,3,28,3464,14131,16,3138,324,"21,073",292,776,1,,,
HARFORD,1229,552,118,58,1,80,59,316,64849,82755,162,46022,3671,"197,459",1645,7458,1,,,
HOWARD,1036,839,259,69,4,102,64,498,124105,49300,290,64586,3594,"241,875",1160,8693,1,,,
KENT,88,37,8,3,0,0,3,14,5727,5574,14,2854,224,"14,393",25,453,1,,,
MONTGOMERY,1112,2937,681,223,17,803,173,"1,897",410731,101752,916,176689,9814,"699,902",10770,40697,1,,,
PR. GEORGE'S,3115,2332,814,118,4,439,180,"1,555",462848,42548,691,104859,14624,"625,570",6166,44846,1,,,
QUEEN ANNE'S,241,100,25,11,0,8,11,55,11262,20840,47,9060,627,"41,836",167,1229,1,,,
ST. MARY'S,846,484,147,80,4,110,57,398,25142,33652,66,18549,1366,"78,775",617,4563,1,,,
SOMERSET,93,27,6,3,0,7,3,19,5385,6357,16,2572,249,"14,579",13,320,1,,,
TALBOT,182,63,16,6,0,7,9,38,10600,11831,22,6141,468,"29,062",398,2008,1,,,
WASHINGTON,690,424,105,27,1,56,33,222,30990,45878,127,24779,1843,"103,617",1596,5707,1,,,
WICOMICO,488,188,44,17,0,25,17,103,26303,24885,70,15436,1355,"68,049",762,2878,1,,,
WORCESTER,517,185,45,19,0,26,24,114,13696,20237,43,9310,830,"44,116",313,2388,1,,,
TOTAL,"31,004","23,212","6,527","2,237",86,"5,004","1,671","15,525","2,240,385","1,032,570","5,141","942,337","75,321","4,295,754","35,737","203,572",1,,,
,,REP,,GRN,UNA,OTH,TOTAL,DUPS,,DEM,REP,GRN,UNA,OTH,,TOTAL,2,,DEM,
,,14,,0,15,6,73,5,,0,0,0,0,0,,0,2,ABSENTEE BALLOT (FPCA),38,BOARD ACTION
,,126,,0,172,21,647,105,,18,4,0,4,0,,26,2,BY MAIL,328,CONFIRMATION MAIL
,,155,,0,335,12,871,40,,"4,791","1,792",18,"2,297",218,,"9,116",2,DESIGNATED STATE AGENCIES,369,COUNTY TRANSFER - OUT
,,44,,0,89,11,281,0,,55,10,0,23,5,,93,2,ELDERLY / DISABLED / SOC SEC,137,CRIMINAL CONVICTION
,,192,,4,300,30,868,4,,"3,566","1,998",5,876,71,,"6,516",2,ERIC REPORT,342,DEATH NOTICE
,,0,,0,0,0,0,0,,206,68,3,94,8,,379,2,FROM ANOTHER BOARD,0,DUPLICATE
,,20,,0,47,2,232,62,,"4,909","1,550",10,"2,524",206,,"9,199",2,PROVISIONAL BALLOT,163,MAIL VERIFICATION (NVRA)
,,27,,0,27,4,137,79,,0,0,0,0,0,,0,2,IN PERSON,79,MENTAL INCOMPETENCY
,,4003,,13,6355,740,"18,352",449,,244,119,0,94,6,,463,2,MOTOR VEHICLE ADMINISTRATION,7241,MOVED OUT OF STATE
,,4,,0,5,0,15,21,,18,12,0,13,1,,44,2,NVRA BY MAIL,6,OTHER
,,50,,2,80,5,297,3,,101,45,0,50,2,,198,2,ONLINE REGISTRATION,160,VOTER REQUEST
,,18,,0,38,3,110,8,,,,,,,,,2,OTHER MEANS,51,
,,0,,0,0,0,0,5,,,,,,,,,2,RECRUITING,0,
,,6,,0,4,0,27,16,,,,,,,,,2,SAME DAY REGISTRATION,17,
,,0,,0,0,0,0,0,,,,,,,,,2,SOCIAL SERVICES,0,
,,1,,0,3,0,11,0,,,,,,,,,2,VOLUNTEER,7,
,,"4,660",,19,"7,470",834,"21,921",797,,"13,908","5,598",36,"5,975",517,,"26,034",2,TOTAL,"8,938",TOTAL
