county,changes,none,party_affiliation_from,none_2,none_3,none_4,none_5,none_6,none_7,total_active_registration,none_8,none_9,none_10,none_11,none_12,none_13,activity,none_14,source_page,column,none_15,none_16
,ADDRESS,NAME,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,"CONF
MAILING",INACTIVE,1,,,
ALLEGANY,302,66,14,10,2,0,13,4,43,"10,828","23,756",55,55,"9,182",774,"44,650",152,"2,828",1,,,
ANNE ARUNDEL,"2,945",984,168,119,0,2,111,48,448,"173,293","131,117",479,268,"108,312","6,645","420,114","2,510","25,019",1,,,
BALTIMORE CITY,"4,048","1,496",287,68,4,4,114,49,526,"301,469","30,314",795,435,"67,995","6,829","407,837","1,242","14,354",1,,,
BALTIMORE CO.,"4,540","1,523",286,119,1,2,142,93,643,"308,945","142,063",761,436,"123,935","10,220","586,360","1,039","17,845",1,,,
CALVERT,357,143,31,19,0,0,22,10,82,"23,533","29,077",66,39,"17,074","1,148","70,937",342,"3,089",1,,,
CAROLINE,129,48,8,9,0,0,4,2,23,"6,003","11,279",28,26,"5,082",375,"22,793",233,897,1,,,
CARROLL,714,211,33,28,0,1,26,11,99,"33,184","64,788",144,67,"31,297","2,105","131,585",564,"5,115",1,,,
CECIL,374,146,50,33,0,2,76,15,176,"19,038","36,126",84,77,"17,675","1,338","74,338",465,"3,682",1,,,
CHARLES,762,336,64,24,0,0,37,10,135,"76,769","23,860",130,99,"26,306","1,682","128,846",474,"5,966",1,,,
DORCHESTER,166,48,13,3,0,0,4,0,20,"9,505","9,704",18,26,"4,484",385,"24,122",121,732,1,,,
FREDERICK,"1,449",442,77,50,2,1,79,30,239,"79,334","70,052",249,123,"56,154","2,926","208,838",866,"10,261",1,,,
GARRETT,93,26,1,7,0,0,0,2,10,"3,438","14,110",18,14,"3,194",296,"21,070",61,836,1,,,
HARFORD,"1,325",394,67,51,0,1,51,33,203,"64,493","82,621",176,145,"46,686","3,450","197,571",511,"8,617",1,,,
HOWARD,"1,184",495,99,49,3,2,69,16,238,"123,201","49,059",311,88,"65,473","3,504","241,636",328,"9,542",1,,,
KENT,82,17,6,5,0,0,3,3,17,"5,690","5,567",14,11,"2,879",211,"14,372",81,520,1,,,
MONTGOMERY,"4,353","2,064",410,133,6,2,208,88,847,"409,393","102,678",958,274,"182,324","9,814","705,441","5,346","43,577",1,,,
PR. GEORGE'S,"3,365","1,913",248,53,1,1,100,50,453,"461,986","42,694",743,399,"107,302","14,249","627,373",0,"45,647",1,,,
QUEEN ANNE'S,262,73,10,10,0,0,6,3,29,"11,297","20,935",49,23,"9,201",616,"42,121",131,"1,196",1,,,
ST. MARY'S,475,147,34,22,0,0,24,4,84,"25,022","33,675",71,57,"18,770","1,275","78,870",406,"4,971",1,,,
SOMERSET,88,19,3,2,0,0,4,1,10,"5,353","6,396",18,16,"2,620",240,"14,643",45,371,1,,,
TALBOT,186,55,14,5,0,0,10,2,31,"10,454","11,738",22,7,"6,114",447,"28,782",93,"2,312",1,,,
WASHINGTON,766,238,46,28,0,0,30,16,120,"30,603","45,519",136,99,"24,959","1,681","102,997",449,"7,073",1,,,
WICOMICO,498,131,36,17,0,0,11,11,75,"26,184","24,876",73,72,"15,688","1,279","68,172",574,"3,172",1,,,
WORCESTER,330,77,21,12,0,0,7,8,48,"13,578","20,213",45,22,"9,496",802,"44,156",177,"2,656",1,,,
TOTAL,"28,793","11,092","2,026",876,19,18,"1,151",509,"4,599","2,232,593","1,032,217","5,443","2,878","962,202","72,291","4,307,624","16,210","220,278",1,,,
,,NEW REGISTRATION BY PARTY,,,,,,,,,,REMOVALS,,,,,,,2,SUMMARY,,
,,DEM,,REP,GRN,WCP,UNA,OTH,TOTAL,,DUPS,,DEM,REP,GRN,WCP,,UNA,2,,OTH,TOTAL
