6,changes,none,party_affiliation_from,none_2,none_3,none_4,none_5,none_6,none_7,total_active_registration,none_8,none_9,none_10,none_11,none_12,none_13,activity,none_14,source_page,summary,new_registration_by_party,removals
,ADDRESS,NAME,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,"CONF
MAILING",INACTIVE,1,,,
ALLEGANY,263,89,23,17,0,1,12,6,59,10774,23745,60,76,9433,755,"44,843",385,2533,1,,,
ANNE ARUNDEL,2316,1224,233,180,5,2,151,62,633,172333,129616,519,352,110328,6770,"419,918",3627,29627,1,,,
BALTIMORE CITY,4195,1694,305,68,4,6,128,62,573,298318,29957,839,631,70171,6793,"406,709",3688,18689,1,,,
BALTIMORE CO.,4811,1996,346,176,7,2,180,102,813,306458,140512,812,611,126903,10061,"585,357",4873,22666,1,,,
CALVERT,279,179,33,27,2,0,22,13,97,23200,28890,67,52,17374,1130,"70,713",23,3819,1,,,
CAROLINE,79,58,10,10,0,0,8,1,29,5906,11317,34,30,5196,368,"22,851",4,1084,1,,,
CARROLL,548,330,54,69,1,0,45,32,201,32916,64293,151,95,31816,2031,"131,302",1276,6494,1,,,
CECIL,323,239,30,34,0,0,30,18,112,18673,35981,85,108,17978,1292,"74,117",52,4775,1,,,
CHARLES,743,382,77,33,0,1,45,17,173,76892,23560,139,134,27153,1653,"129,531",23,7538,1,,,
DORCHESTER,148,60,13,9,0,0,6,3,31,9427,9727,21,34,4579,391,"24,179",264,898,1,,,
FREDERICK,1155,603,108,66,1,1,82,38,296,78043,68791,273,171,56816,2814,"206,908",968,15192,1,,,
GARRETT,52,39,3,8,0,0,2,1,14,3395,14079,21,15,3304,295,"21,109",7,976,1,,,
HARFORD,1427,548,102,78,0,1,64,39,284,64292,82497,197,196,47642,3365,"198,189",1431,10453,1,,,
HOWARD,2118,716,131,78,3,0,93,24,329,122727,48199,330,110,67133,3424,"241,923",2882,11950,1,,,
KENT,73,28,9,3,0,0,6,4,22,5609,5589,15,15,2945,213,"14,386",58,645,1,,,
MONTGOMERY,3034,3183,543,232,8,3,304,99,"1,189",403847,100766,1058,417,186530,9600,"702,218",276,53796,1,,,
PR. GEORGE'S,4671,1791,415,121,5,4,165,79,789,456385,41980,811,567,110737,14121,"624,601",19892,52308,1,,,
QUEEN ANNE'S,215,107,21,13,0,3,17,4,58,11249,20878,45,35,9384,600,"42,191",3,1705,1,,,
ST. MARY'S,733,235,34,32,0,0,23,13,102,24836,33452,76,73,19198,1216,"78,851",592,5837,1,,,
SOMERSET,94,50,9,7,0,0,9,2,27,5327,6384,21,22,2722,233,"14,709",4,476,1,,,
TALBOT,124,79,12,9,0,0,5,2,28,10368,11716,22,14,6249,433,"28,802",14,2474,1,,,
WASHINGTON,464,298,51,39,0,0,33,16,139,30410,45217,147,126,25642,1646,"103,188",188,8255,1,,,
WICOMICO,602,228,38,26,0,0,30,13,107,25923,24663,84,107,16074,1262,"68,113",1749,3888,1,,,
WORCESTER,332,85,21,8,0,0,9,7,45,13463,20253,47,28,9613,780,"44,184",390,3149,1,,,
TOTAL,"28,799","14,241","2,621","1,343",36,24,"1,469",657,"6,150","2,210,771","1,022,062","5,874","4,019","984,920","71,246","4,298,892","42,669","269,227",1,,,
,,REP,,GRN,WCP,UNA,OTH,TOTAL,DUPS,,DEM,REP,GRN,WCP,UNA,OTH,,TOTAL,2,,DEM,
,,0,,0,0,1,0,3,4,,0,0,0,0,0,0,,0,2,ABSENTEE BALLOT (FPCA),2,BOARD ACTION
,,61,,0,0,69,6,250,187,,12,5,0,0,6,0,,23,2,BY MAIL,114,CONFIRMATION MAIL
,,80,,0,6,239,25,652,33,,5510,1724,9,17,2547,180,,"9,987",2,DESIGNATED STATE AGENCIES,302,COUNTY TRANSFER - OUT
,,36,,2,6,68,14,253,0,,3,0,0,0,0,0,,3,2,ELDERLY / DISABLED / SOC SEC,127,CRIMINAL CONVICTION
,,683,,2,7,1199,83,"4,643",1,,2355,1038,4,1,482,47,,"3,927",2,ERIC REPORT,2669,DEATH NOTICE
,,0,,0,0,0,0,0,0,,38,9,0,0,15,5,,67,2,FROM ANOTHER BOARD,0,DUPLICATE
,,0,,0,0,0,0,0,0,,11951,5464,44,28,7035,523,,"25,045",2,PROVISIONAL BALLOT,0,MAIL VERIFICATION (NVRA)
,,3,,1,0,6,0,28,3,,0,1,0,0,1,0,,2,2,IN PERSON,18,MENTAL INCOMPETENCY
,,2261,,39,75,5181,181,"13,728",481,,721,468,2,0,347,34,,"1,572",2,MOTOR VEHICLE ADMINISTRATION,5991,MOVED OUT OF STATE
,,0,,0,0,4,0,9,9,,16,5,0,1,18,2,,42,2,NVRA BY MAIL,5,OTHER
,,44,,0,2,96,2,303,2,,72,41,0,0,57,3,,173,2,ONLINE REGISTRATION,159,VOTER REQUEST
,,6,,0,0,11,0,37,31,,,,,,,,,,2,OTHER MEANS,20,
,,0,,0,0,1,0,1,0,,,,,,,,,,2,RECRUITING,0,
,,0,,0,0,0,0,0,0,,,,,,,,,,2,SAME DAY REGISTRATION,0,
,,0,,0,0,1,0,1,0,,,,,,,,,,2,SOCIAL SERVICES,0,
,,12,,0,0,19,4,112,0,,,,,,,,,,2,VOLUNTEER,77,
,,"3,186",,44,96,"6,895",315,"20,020",751,,"20,678","8,755",59,47,"10,508",794,,"40,841",2,TOTAL,"9,484",TOTAL
