county,changes,none,party_affiliation_from,none_2,none_3,none_4,none_5,none_6,none_7,total_active_registration,none_8,none_9,none_10,none_11,none_12,none_13,activity,none_14,source_page,summary,new_registration_by_party,removals
,ADDRESS,NAME,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,"CONF
MAILING",INACTIVE,1,,,
ALLEGANY,203,111,32,26,0,1,16,10,85,10753,23719,67,92,9666,741,"45,038",0,2521,1,,,
ANNE ARUNDEL,1909,1218,237,227,5,3,245,84,801,172969,129264,537,413,112219,6679,"422,081",0,29441,1,,,
BALTIMORE CITY,3193,1808,325,68,8,11,201,55,668,297700,29989,855,744,72014,6841,"408,143",0,19051,1,,,
BALTIMORE CO.,3027,2132,429,240,4,5,269,108,"1,055",305329,139790,837,697,128734,9933,"585,320",0,23907,1,,,
CALVERT,264,186,34,34,0,3,40,11,122,23166,28826,67,61,17555,1117,"70,792",0,3907,1,,,
CAROLINE,122,48,12,7,1,0,9,6,35,5888,11386,32,36,5303,363,"23,008",0,1085,1,,,
CARROLL,544,332,57,72,1,0,132,36,298,32873,64184,155,116,32223,1986,"131,537",46,6618,1,,,
CECIL,255,206,53,62,2,0,42,16,175,18701,35978,86,129,18212,1270,"74,376",0,5007,1,,,
CHARLES,565,413,103,42,0,2,55,19,221,77408,23442,148,148,27828,1653,"130,627",0,7579,1,,,
DORCHESTER,131,61,14,21,0,0,17,5,57,9398,9805,22,37,4683,395,"24,340",0,919,1,,,
FREDERICK,1134,591,110,115,1,0,168,24,418,78660,68632,290,199,57760,2795,"208,336",0,15312,1,,,
GARRETT,74,39,9,9,0,0,2,3,23,3360,14092,23,19,3361,289,"21,144",0,1006,1,,,
HARFORD,919,552,164,106,0,1,184,52,507,64446,82614,214,222,48342,3362,"199,200",0,10575,1,,,
HOWARD,1014,694,142,145,2,0,174,43,506,123063,47593,351,133,68077,3406,"242,623",0,12347,1,,,
KENT,42,34,6,2,0,0,9,6,23,5575,5579,17,15,3002,212,"14,400",0,674,1,,,
MONTGOMERY,2834,2710,490,351,12,5,506,103,"1,467",405026,99964,1095,494,189837,9547,"705,963",1,54025,1,,,
PR. GEORGE'S,3175,2197,463,137,5,6,260,103,974,455571,41670,869,668,114413,14004,"627,195",1,32282,1,,,
QUEEN ANNE'S,187,91,22,21,0,1,23,7,74,11202,20872,46,41,9505,596,"42,262",0,1741,1,,,
ST. MARY'S,369,229,26,46,0,1,58,15,146,24881,33459,78,83,19478,1200,"79,179",0,5923,1,,,
SOMERSET,66,33,11,4,0,0,8,2,25,5304,6376,25,24,2804,230,"14,763",0,498,1,,,
TALBOT,146,77,11,11,0,1,17,4,44,10394,11723,23,19,6358,423,"28,940",0,1831,1,,,
WASHINGTON,541,344,56,56,0,0,53,27,192,30429,45111,152,152,26210,1632,"103,686",0,8355,1,,,
WICOMICO,376,180,50,31,0,0,43,17,141,25619,24489,89,115,16155,1244,"67,711",0,4692,1,,,
WORCESTER,209,119,60,27,0,1,47,9,144,13373,20364,48,34,9743,765,"44,327",0,2545,1,,,
TOTAL,"21,299","14,405","2,916","1,860",41,41,"2,578",765,"8,201","2,211,088","1,018,921","6,126","4,691","1,003,482","70,683","4,314,991",48,"251,841",1,,,
,,REP,,GRN,WCP,UNA,OTH,TOTAL,DUPS,,DEM,REP,GRN,WCP,UNA,OTH,,TOTAL,2,,DEM,
,,2,,0,0,5,1,41,27,,0,1,0,0,1,0,,2,2,ABSENTEE BALLOT (FPCA),33,BOARD ACTION
,,87,,2,3,126,22,509,103,,5,1,0,0,1,0,,7,2,BY MAIL,269,CONFIRMATION MAIL
,,40,,0,4,152,21,429,17,,3407,1112,14,11,1542,113,,"6,199",2,DESIGNATED STATE AGENCIES,212,COUNTY TRANSFER - OUT
,,33,,1,2,103,16,374,3,,3,1,0,0,0,1,,5,2,ELDERLY / DISABLED / SOC SEC,219,CRIMINAL CONVICTION
,,3,,0,0,5,0,19,2,,2194,1026,1,2,435,53,,"3,711",2,ERIC REPORT,11,DEATH NOTICE
,,0,,0,0,0,0,0,0,,196,34,0,0,58,7,,295,2,FROM ANOTHER BOARD,0,DUPLICATE
,,0,,0,0,0,0,1,1,,654,491,4,3,463,36,,"1,651",2,PROVISIONAL BALLOT,1,MAIL VERIFICATION (NVRA)
,,9,,1,0,6,0,52,8,,0,2,0,0,1,0,,3,2,IN PERSON,36,MENTAL INCOMPETENCY
,,2341,,50,69,6024,170,"15,890",473,,668,480,1,0,336,31,,"1,516",2,MOTOR VEHICLE ADMINISTRATION,7236,MOVED OUT OF STATE
,,3,,0,0,7,1,40,17,,26,6,0,0,17,5,,54,2,NVRA BY MAIL,29,OTHER
,,115,,5,6,226,8,880,4,,127,62,0,0,66,3,,258,2,ONLINE REGISTRATION,520,VOTER REQUEST
,,160,,3,3,365,37,"1,081",39,,,,,,,,,,2,OTHER MEANS,513,
,,0,,0,0,1,0,2,1,,,,,,,,,,2,RECRUITING,1,
,,2,,0,0,1,1,4,0,,,,,,,,,,2,SAME DAY REGISTRATION,0,
,,0,,0,0,0,0,0,0,,,,,,,,,,2,SOCIAL SERVICES,0,
,,8,,1,0,73,5,174,7,,,,,,,,,,2,VOLUNTEER,87,
,,"2,803",,63,87,"7,094",282,"19,496",702,,"7,280","3,216",20,16,"2,920",249,,"13,701",2,TOTAL,"9,167",TOTAL
