year,month,county,party,registered,source_url
2024,1,ALLEGANY,Democratic,11367,local://MSR-2024_01.pdf
2024,1,ANNE ARUNDEL,Democratic,174068,local://MSR-2024_01.pdf
2024,1,BALTIMORE CITY,Democratic,296532,local://MSR-2024_01.pdf
2024,1,BALTIMORE CO.,Democratic,307691,local://MSR-2024_01.pdf
2024,1,CALVERT,Democratic,23557,local://MSR-2024_01.pdf
2024,1,CAROLINE,Democratic,6091,local://MSR-2024_01.pdf
2024,1,CARROLL,Democratic,33300,local://MSR-2024_01.pdf
2024,1,CECIL,Democratic,20130,local://MSR-2024_01.pdf
2024,1,CHARLES,Democratic,74781,local://MSR-2024_01.pdf
2024,1,DORCHESTER,Democratic,9520,local://MSR-2024_01.pdf
2024,1,FREDERICK,Democratic,77559,local://MSR-2024_01.pdf
2024,1,GARRETT,Democratic,3602,local://MSR-2024_01.pdf
2024,1,HARFORD,Democratic,64624,local://MSR-2024_01.pdf
2024,1,HOWARD,Democratic,121417,local://MSR-2024_01.pdf
2024,1,KENT,Democratic,5780,local://MSR-2024_01.pdf
2024,1,MONTGOMERY,Democratic,406622,local://MSR-2024_01.pdf
2024,1,PR. GEORGE'S,Democratic,454604,local://MSR-2024_01.pdf
2024,1,QUEEN ANNE'S,Democratic,11085,local://MSR-2024_01.pdf
2024,1,ST. MARY'S,Democratic,25000,local://MSR-2024_01.pdf
2024,1,SOMERSET,Democratic,5481,local://MSR-2024_01.pdf
2024,1,TALBOT,Democratic,10667,local://MSR-2024_01.pdf
2024,1,WASHINGTON,Democratic,30981,local://MSR-2024_01.pdf
2024,1,WICOMICO,Democratic,26377,local://MSR-2024_01.pdf
2024,1,WORCESTER,Democratic,13611,local://MSR-2024_01.pdf
2024,1,ALLEGANY,Republican,22907,local://MSR-2024_01.pdf
2024,1,ANNE ARUNDEL,Republican,129158,local://MSR-2024_01.pdf
2024,1,BALTIMORE CITY,Republican,28113,local://MSR-2024_01.pdf
2024,1,BALTIMORE CO.,Republican,136739,local://MSR-2024_01.pdf
2024,1,CALVERT,Republican,27977,local://MSR-2024_01.pdf
2024,1,CAROLINE,Republican,10671,local://MSR-2024_01.pdf
2024,1,CARROLL,Republican,63380,local://MSR-2024_01.pdf
2024,1,CECIL,Republican,32884,local://MSR-2024_01.pdf
2024,1,CHARLES,Republican,22870,local://MSR-2024_01.pdf
2024,1,DORCHESTER,Republican,9165,local://MSR-2024_01.pdf
2024,1,FREDERICK,Republican,67614,local://MSR-2024_01.pdf
2024,1,GARRETT,Republican,13736,local://MSR-2024_01.pdf
2024,1,HARFORD,Republican,80276,local://MSR-2024_01.pdf
2024,1,HOWARD,Republican,48105,local://MSR-2024_01.pdf
2024,1,KENT,Republican,5251,local://MSR-2024_01.pdf
2024,1,MONTGOMERY,Republican,96478,local://MSR-2024_01.pdf
2024,1,PR. GEORGE'S,Republican,37744,local://MSR-2024_01.pdf
2024,1,QUEEN ANNE'S,Republican,19985,local://MSR-2024_01.pdf
2024,1,ST. MARY'S,Republican,31814,local://MSR-2024_01.pdf
2024,1,SOMERSET,Republican,6115,local://MSR-2024_01.pdf
