year,month,county,party,registered,source_url
2025,2,ALLEGANY,Democratic,10828,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,ANNE ARUNDEL,Democratic,173564,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,BALTIMORE CITY,Democratic,300359,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,BALTIMORE CO.,Democratic,309799,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CALVERT,Democratic,23592,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CAROLINE,Democratic,6003,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CARROLL,Democratic,33197,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CECIL,Democratic,19015,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CHARLES,Democratic,76795,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,DORCHESTER,Democratic,9578,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,FREDERICK,Democratic,79237,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,GARRETT,Democratic,3443,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,HARFORD,Democratic,64526,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,HOWARD,Democratic,123555,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,KENT,Democratic,5696,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,MONTGOMERY,Democratic,409102,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,PR. GEORGE'S,Democratic,462824,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,QUEEN ANNE'S,Democratic,11225,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,ST. MARY'S,Democratic,25016,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,SOMERSET,Democratic,5353,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,TALBOT,Democratic,10546,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,WASHINGTON,Democratic,30614,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
