"year","month","county","party","registered"
"2025","1","Allegany","Unaffiliated","5615"
"2025","1","Allegany","Democratic","12895"
"2025","1","Allegany","Other","1185"
"2025","1","Allegany","Republican","9745"
"2025","1","Anne Arundel","Unaffiliated","5730"
"2025","1","Anne Arundel","Democratic","13010"
"2025","1","Anne Arundel","Other","1300"
"2025","1","Anne Arundel","Republican","9860"
"2025","1","Baltimore City","Unaffiliated","5845"
"2025","1","Baltimore City","Democratic","13125"
"2025","1","Baltimore City","Other","1415"
"2025","1","Baltimore City","Republican","9975"
"2025","1","Baltimore","Unaffiliated","5960"
"2025","1","Baltimore","Democratic","13240"
"2025","1","Baltimore","Other","1530"
"2025","1","Baltimore","Republican","10090"
"2025","1","Calvert","Unaffiliated","6075"
"2025","1","Calvert","Democratic","13355"
"2025","1","Calvert","Other","1645"
"2025","1","Calvert","Republican","10205"
"2025","1","Caroline","Unaffiliated","6190"
"2025","1","Caroline","Democratic","13470"
"2025","1","Caroline","Other","1760"
"2025","1","Caroline","Republican","10320"
"2025","1","Carroll","Unaffiliated","6305"
"2025","1","Carroll","Democratic","13585"
"2025","1","Carroll","Other","1875"
"2025","1","Carroll","Republican","10435"
"2025","1","Cecil","Unaffiliated","6420"
"2025","1","Cecil","Democratic","13700"
"2025","1","Cecil","Other","1990"
"2025","1","Cecil","Republican","10550"
"2025","1","Charles","Unaffiliated","6535"
"2025","1","Charles","Democratic","13815"
"2025","1","Charles","Other","2105"
"2025","1","Charles","Republican","10665"
"2025","1","Dorchester","Unaffiliated","6650"
"2025","1","Dorchester","Democratic","13930"
"2025","1","Dorchester","Other","2220"
"2025","1","Dorchester","Republican","10780"
"2025","1","Frederick","Unaffiliated","6765"
"2025","1","Frederick","Democratic","14045"
"2025","1","Frederick","Other","2335"
"2025","1","Frederick","Republican","10895"
"2025","1","Garrett","Unaffiliated","6880"
"2025","1","Garrett","Democratic","14160"
"2025","1","Garrett","Other","2450"
"2025","1","Garrett","Republican","11010"
"2025","1","Harford","Unaffiliated","6995"
"2025","1","Harford","Democratic","14275"
"2025","1","Harford","Other","2565"
"2025","1","Harford","Republican","11125"
"2025","1","Howard","Unaffiliated","7110"
"2025","1","Howard","Democratic","14390"
"2025","1","Howard","Other","2680"
"2025","1","Howard","Republican","11240"
"2025","1","Kent","Unaffiliated","7225"
"2025","1","Kent","Democratic","14505"
"2025","1","Kent","Other","2795"
"2025","1","Kent","Republican","11355"
"2025","1","Montgomery","Unaffiliated","7340"
"2025","1","Montgomery","Democratic","14620"
"2025","1","Montgomery","Other","2910"
"2025","1","Montgomery","Republican","11470"
"2025","1","Prince George's","Unaffiliated","7455"
"2025","1","Prince George's","Democratic","14735"
"2025","1","Prince George's","Other","3025"
"2025","1","Prince George's","Republican","11585"
"2025","1","Queen Anne's","Unaffiliated","7570"
"2025","1","Queen Anne's","Democratic","14850"
"2025","1","Queen Anne's","Other","3140"
"2025","1","Queen Anne's","Republican","11700"
"2025","1","St. Mary's","Unaffiliated","7685"
"2025","1","St. Mary's","Democratic","14965"
"2025","1","St. Mary's","Other","3255"
"2025","1","St. Mary's","Republican","11815"
"2025","1","Somerset","Unaffiliated","7800"
"2025","1","Somerset","Democratic","15080"
"2025","1","Somerset","Other","3370"
"2025","1","Somerset","Republican","11930"
"2025","1","Talbot","Unaffiliated","7915"
"2025","1","Talbot","Democratic","15195"
"2025","1","Talbot","Other","3485"
"2025","1","Talbot","Republican","12045"
"2025","1","Washington","Unaffiliated","8030"
"2025","1","Washington","Democratic","15310"
"2025","1","Washington","Other","3600"
"2025","1","Washington","Republican","12160"
"2025","1","Wicomico","Unaffiliated","8145"
"2025","1","Wicomico","Democratic","15425"
"2025","1","Wicomico","Other","3715"
"2025","1","Wicomico","Republican","12275"
"2025","1","Worcester","Unaffiliated","8260"
"2025","1","Worcester","Democratic","15540"
"2025","1","Worcester","Other","3830"
"2025","1","Worcester","Republican","12390"
"2025","2","Allegany","Unaffiliated","5795"
"2025","2","Allegany","Democratic","13075"
"2025","2","Allegany","Other","1365"
"2025","2","Allegany","Republican","9925"
"2025","2","Anne Arundel","Unaffiliated","5910"
"2025","2","Anne Arundel","Democratic","13190"
"2025","2","Anne Arundel","Other","1480"
"2025","2","Anne Arundel","Republican","10040"
"2025","2","Baltimore City","Unaffiliated","6025"
"2025","2","Baltimore City","Democratic","13305"
"2025","2","Baltimore City","Other","1595"
"2025","2","Baltimore City","Republican","10155"
"2025","2","Baltimore","Unaffiliated","6140"
"2025","2","Baltimore","Democratic","13420"
"2025","2","Baltimore","Other","1710"
"2025","2","Baltimore","Republican","10270"
"2025","2","Calvert","Unaffiliated","6255"
"2025","2","Calvert","Democratic","13535"
"2025","2","Calvert","Other","1825"
"2025","2","Calvert","Republican","10385"
"2025","2","Caroline","Unaffiliated","6370"
"2025","2","Caroline","Democratic","13650"
"2025","2","Caroline","Other","1940"
"2025","2","Caroline","Republican","10500"
"2025","2","Carroll","Unaffiliated","6485"
"2025","2","Carroll","Democratic","13765"
"2025","2","Carroll","Other","2055"
"2025","2","Carroll","Republican","10615"
"2025","2","Cecil","Unaffiliated","6600"
"2025","2","Cecil","Democratic","13880"
"2025","2","Cecil","Other","2170"
"2025","2","Cecil","Republican","10730"
"2025","2","Charles","Unaffiliated","6715"
"2025","2","Charles","Democratic","13995"
"2025","2","Charles","Other","2285"
"2025","2","Charles","Republican","10845"
"2025","2","Dorchester","Unaffiliated","6830"
"2025","2","Dorchester","Democratic","14110"
"2025","2","Dorchester","Other","2400"
"2025","2","Dorchester","Republican","10960"
"2025","2","Frederick","Unaffiliated","6945"
"2025","2","Frederick","Democratic","14225"
"2025","2","Frederick","Other","2515"
"2025","2","Frederick","Republican","11075"
"2025","2","Garrett","Unaffiliated","7060"
"2025","2","Garrett","Democratic","14340"
"2025","2","Garrett","Other","2630"
"2025","2","Garrett","Republican","11190"
"2025","2","Harford","Unaffiliated","7175"
"2025","2","Harford","Democratic","14455"
"2025","2","Harford","Other","2745"
"2025","2","Harford","Republican","11305"
"2025","2","Howard","Unaffiliated","7290"
"2025","2","Howard","Democratic","14570"
"2025","2","Howard","Other","2860"
"2025","2","Howard","Republican","11420"
"2025","2","Kent","Unaffiliated","7405"
"2025","2","Kent","Democratic","14685"
"2025","2","Kent","Other","2975"
"2025","2","Kent","Republican","11535"
"2025","2","Montgomery","Unaffiliated","7520"
"2025","2","Montgomery","Democratic","14800"
"2025","2","Montgomery","Other","3090"
"2025","2","Montgomery","Republican","11650"
"2025","2","Prince George's","Unaffiliated","7635"
"2025","2","Prince George's","Democratic","14915"
"2025","2","Prince George's","Other","3205"
